,name,description,details,price,seller_id
0,"
            bow for cats and dogs, pet, patterns, Christmas, handmade, colorful, cute, for festive occasions, birthday, gift, accessories
        ",Description,[],"
                        $7.37+
                    ","
                LifeOfLazyCats
            "
1,"
            Scrunchy for you, Christmas, girls, hair tie, accessories, hair saving, gift, festive, cute, hair decoration, bracelet, handmade
        ",Description,[],"
                        $8.05
                    ","
                LifeOfLazyCats
            "
2,"
            Bandana for cat and dog for Christmas, pet, fabric bandana, pattern, handmade, gift, accessories, Christmas, birthday
        ","
                    Finally the time has come:the year is drawing to a close and soon we will all be able to celebrate the festival of love.Christmas is always a very special day.And we have the right accessories for just this day - here in the form of a bandana.In a cute print matching the cold season and the celebration for which we always had to wait far too long as children.This beautiful, handmade bandana is available in the following sizes:S ~ 25 cm M ~ 30 cmL ~ 35cmThese measurements refer to the existing neck circumference of the pet.If desired, it can also be provided with clips or velcro fasteners, for a quick fitting.Just write us in the comment box when buying what you would like to have.Especially in the cooler seasons it is advantageous to put a protection from the weather around the neck of dogs or even leashed cats.And who says that it should not look good?If a different size is desired, just write to us!Not a fan of Bandana?Rather a nice bow?Then have a look at our other offers!Pattern variations are possible, because we work with continuous fabric.Lovingly handmade.Colors can vary depending on the device.
                ","['\n\nHandmade\n', '\n\n\n\nMaterials: Baumwolle\n\n\nRead the full description\n\n\n']","
                        $10.10+
                    ","
                LifeOfLazyCats
            "
3,"
            Scrunchy for you, Christmas, girls, hair tie, accessories, hair saving, gift, festive, cute, hair decoration, bracelet, handmade
        ",Description,[],"
                        $8.05
                    ","
                LifeOfLazyCats
            "
4,"
            Valerian cubes, Valerian toy, toy for cats, plush cubes, gift, cat toy, Crazy Cat Lady, unique
        ",Description,[],"
                        $7.12+
                    ","
                LifeOfLazyCats
            "
5,"
            Bandana for cat and dog for Christmas, pet, fabric bandana, pattern, handmade, gift, accessories, Christmas, birthday
        ","
                    Finally the time has come:the year is drawing to a close and soon we will all be able to celebrate the festival of love.Christmas is always a very special day.And we have the right accessories for just this day - here in the form of a bandana.In a cute print matching the cold season and the celebration for which we always had to wait far too long as children.This beautiful, handmade bandana is available in the following sizes:S ~ 25 cm M ~ 30 cmL ~ 35cmThese measurements refer to the existing neck circumference of the pet.If desired, it can also be provided with clips or velcro fasteners, for a quick fitting.Just write us in the comment box when buying what you would like to have.Especially in the cooler seasons it is advantageous to put a protection from the weather around the neck of dogs or even leashed cats.And who says that it should not look good?If a different size is desired, just write to us!Not a fan of Bandana?Rather a nice bow?Then have a look at our other offers!Pattern variations are possible, because we work with continuous fabric.Lovingly handmade.Colors can vary depending on the device.
                ","['\n\nHandmade\n', '\n\n\n\nMaterials: Baumwolle\n\n\nRead the full description\n\n\n']","
                        $10.10+
                    ","
                LifeOfLazyCats
            "
6,"
            Bandana for cat and dog for Christmas, pet, fabric bandana, pattern, handmade, gift, accessories, Christmas, birthday
        ","
                    Finally the time has come:the year is drawing to a close and soon we will all be able to celebrate the festival of love.Christmas is always a very special day.And we have the right accessories for just this day - here in the form of a bandana.In a cute print matching the cold season and the celebration for which we always had to wait far too long as children.This beautiful, handmade bandana is available in the following sizes:S ~ 25 cm M ~ 30 cmL ~ 35cmThese measurements refer to the existing neck circumference of the pet.If desired, it can also be provided with clips or velcro fasteners, for a quick fitting.Just write us in the comment box when buying what you would like to have.Especially in the cooler seasons it is advantageous to put a protection from the weather around the neck of dogs or even leashed cats.And who says that it should not look good?If a different size is desired, just write to us!Not a fan of Bandana?Rather a nice bow?Then have a look at our other offers!Pattern variations are possible, because we work with continuous fabric.Lovingly handmade.Colors can vary depending on the device.
                ","['\n\nHandmade\n', '\n\n\n\nMaterials: Baumwolle\n\n\nRead the full description\n\n\n']","
                        $10.10+
                    ","
                LifeOfLazyCats
            "
7,"
            bow for cats and dogs, pet, patterns, Christmas, handmade, colorful, cute, for festive occasions, birthday, gift, accessories
        ",Description,[],"
                        $7.37+
                    ","
                LifeOfLazyCats
            "
8,"
            Bandana for cat and dog for Christmas, pet, fabric bandana, pattern, handmade, gift, accessories, Christmas, birthday
        ","
                    Finally the time has come:the year is drawing to a close and soon we will all be able to celebrate the festival of love.Christmas is always a very special day.And we have the right accessories for just this day - here in the form of a bandana.In a cute print matching the cold season and the celebration for which we always had to wait far too long as children.This beautiful, handmade bandana is available in the following sizes:S ~ 25 cm M ~ 30 cmL ~ 35cmThese measurements refer to the existing neck circumference of the pet.If desired, it can also be provided with clips or velcro fasteners, for a quick fitting.Just write us in the comment box when buying what you would like to have.Especially in the cooler seasons it is advantageous to put a protection from the weather around the neck of dogs or even leashed cats.And who says that it should not look good?If a different size is desired, just write to us!Not a fan of Bandana?Rather a nice bow?Then have a look at our other offers!Pattern variations are possible, because we work with continuous fabric.Lovingly handmade.Colors can vary depending on the device.
                ","['\n\nHandmade\n', '\n\n\n\nMaterials: Baumwolle\n\n\nRead the full description\n\n\n']","
                        $10.10+
                    ","
                LifeOfLazyCats
            "
9,"
            Woolyverse bandana, crochet bandana, crochet bandana, bandana for cats and dogs, for 22cm - 28cm neck circumference
        ","
                    These magical bandanas come directly from the crochet universe.Light and cuddly they flatter the wearer without being too obtrusive.Especially in the cooler seasons very practical, because something should be put around the dog's neck anyway to prevent colds and/or inflammations.Also recommended for cats kept on a leash.The neck circumference of the wearer should be a minimum of 22cm and a maximum of 28cm to ensure purrfect wearing comfort.If you like, you can also choose a bandana with a handmade black bow for the extra touch. To see on the second picture.They are fastened by a button.Colors may vary depending on the device.
                ","['\n\nHandmade\n', '\n\n\n\nMaterials: Polyesterwolle, Knopf\n\n\nRead the full description\n\n\n']","
                        $7.12+
                    ","
                LifeOfLazyCats
            "
10,"
            Mouth protection mask, makeshift mask, makeshift face mask, nose protection, face mask, everyday mask, elastic band, washable
        ","
                    Simple and reusable makeshift mask for everyday use.Made entirely of cotton, with elastic bands for wearing and opening for a filter.There are different possibilities for cleaning:Cooking potIf you don't want to start a machine for one or more masks, you can also boil the mask for at least five minutes in a saucepan with water and a pinch of detergent. This is the quick method, so to speak. To determine the correct temperature, you can use a kitchen or grill thermometer. Once the masks are boiled, you should let them dry well.KettlePour hot water from the kettle at a temperature of at least 70 °C into a pot or heat-resistant bowl. Put the mask in for five minutes, stirring it from time to time with a wooden spoon. Then take it out, lay it out on a towel and let it dry well.These masks are neither a medical product nor protective equipment.Proper handling is therefore important and is strongly recommended.Colors may vary depending on the device.
                ","['\n\nHandmade\n', '\n\n\n\nMaterials: Baumwolle\n\n\nRead the full description\n\n\n']","
                        $6.13
                    ","
                LifeOfLazyCats
            "
11,"
            Scrunchy for you, Christmas, girls, hair tie, accessories, hair saving, gift, festive, cute, hair decoration, bracelet, handmade
        ",Description,[],"
                        $8.05
                    ","
                LifeOfLazyCats
            "
