,name,description,details,price,seller_id
0,"
            Cup with alcohol colour pink/red/copper
        ","
                    Gorgeous cup painted with alcohol ink, perfect for coffee or tea. 3times sealed and protected with UV protection. The cup is cleaned by hand with water, please use a soft cloth. Microwave-suitable (1-2minutes).Do not put in the dishwasher.Capacity: 300mlCustom birthday giftPink/Red/Copper
                ","['\n\nHandmade\n', '\n\n\n\nMaterials: Alcohol ink\n\n\nRead the full description\n\n\n']","
                        $23.60
                    ","
                artsarahk1408
            "
1,"
            Custom Resin Letter Keychain Made to Order
        ","
                    Individual key chains made of epoxy resin-GOLD models: gold leaf, gold leaf with dots, gold leaf with colourAll with gold ring and chain-SILVER models: silver leaf, silver leaf with dots, silver leaf with colourAll with silver ring and chain-You can choose your letter from the three models shown.Made to orderProduction time: 3-5 business days
                ","['\n\nHandmade\n', '\n\n\n\nMaterials: Gold, Epoxy\n\n\nRead the full description\n\n\n']","
                        $11.15
                    ","
                artsarahk1408
            "
2,"
            Napkin holder made of epoxy resin, geode shape with crystals
        ","
                    Napkin holder made of epoxy resin in blue and silver. Geode shape with crystals on the sides. Approx. 15 cm long, approx. 8 cm wide and approx. 8 cm high.
                ",['\n\nHandmade\n'],"
                        $35.93
                    ","
                artsarahk1408
            "
3,"
            Peel of epoxy resin with crystal surface and stones
        ","
                    Round shell made of epoxy resin. Glittering in gold, black and transparent. The edge is about 2 cm high and wavy. The shell is 19 cm wide. Space for packaged biscuits, keychain, letters, candles and the like. The center and the edge are decorated with crystal stones.Other colors are possible, please write a message!
                ","['\n\nHandmade\n', '\nHeight: 2 centimeters\n', '\nWidth: 19 centimeters\n']","
                        $48.40
                    ","
                artsarahk1408
            "
4,"
            Home sign in wood, wall decoration in pink gold
        ","
                    Large wooden HOME sign. Refined with alcohol ink and sealed with UV spray. Has two notches for hanging on the wall.The golden alcohol ink reflects beautifully when the light is lit.
                ","['\n\nHandmade\n', '\nHeight: 23.5 centimeters\n', '\nWidth: 54.5 centimeters\n', '\nDepth: 1.2 centimeters\n']","
                        $35.99
                    ","
                artsarahk1408
            "
5,"
            Home Decoration Wooden Sign Marine World
        ","
                    Large wooden HOME sign. Refined with alcohol ink and resin. Painted in blue and green tones, decorated with real shells, stones and crystals. Has two notches for hanging on the wall.
                ","['\n\nHandmade\n', '\n\n\n\nMaterials: Wooden sign, Alcohol ink, Epoxy, Shells, Crystals, Stones\n\n\nRead the full description\n\n\n', '\nHeight: 23.5 centimeters\n', '\nWidth: 54.5 centimeters\n', '\nDepth: 1.2 centimeters\n']","
                        $68.20
                    ","
                artsarahk1408
            "
6,"
            Hair clips in set, made of epoxy resin with real flowers and gold leaf
        ","
                    Set of 4 made of handmade hair clips. Made of epoxy resin with real flowers and gold leaf. Perfectly suited as a gift.
                ",['\n\nHandmade\n'],"
                        $28.49
                    ","
                artsarahk1408
            "
7,"
            Silicone mold druzymold crystal mold oval
        ","
                    Silicone mould in oval form, 9 cm wide, 6 cm high. Imprint of real crystals.
                ","['\n\nHandmade\n', '\n\n\n\nMaterials: Silicone\n\n\nRead the full description\n\n\n']","
                        $11.20
                    ","
                artsarahk1408
            "
8,"
            Silicone mold druzymold crystalmold heart
        ","
                    Small heart-shaped silicone mold, imprint of real crystals. Approx. 5 cm wide and 3.5 cm high.
                ","['\n\nHandmade\n', '\n\n\n\nMaterials: Silicone\n\n\nRead the full description\n\n\n']","
                        $6.19
                    ","
                artsarahk1408
            "
9,"
            Silicone Mold Druzymold Crystal Mold Heart
        ","
                    Heart-shaped silicone mold for inserting. 10 cm wide, 7 cm highMade from real crystals
                ","['\n\nHandmade\n', '\n\n\n\nMaterials: Silicone\n\n\nRead the full description\n\n\n']","
                        $14.90
                    ","
                artsarahk1408
            "
10,"
            Silicone mold crystal mold inlay mold
        ","
                    Silicone mold to insert. Imprint of real crystals, arranged in a circle.10 cm diameter
                ","['\n\nHandmade\n', '\n\n\n\nMaterials: Silicone\n\n\nRead the full description\n\n\n']","
                        $35.99
                    ","
                artsarahk1408
            "
11,"
            Silicone mold Druzymold crystal mold
        ","
                    Round, uneven silicone mold with 10 cm diameter. Made with real crystals, therefore no smooth surface, but naturally shaped.
                ","['\n\nHandmade\n', '\n\n\n\nMaterials: Silicone\n\n\nRead the full description\n\n\n']","
                        $22.30
                    ","
                artsarahk1408
            "
12,"
            Silicone mould druzymold crystal mould
        ","
                    Silicone mold made of real crystals. The shape has 12 corners and is intended for insertion. Diameter 12 cm.
                ","['\n\nHandmade\n', '\n\n\n\nMaterials: Silicone\n\n\nRead the full description\n\n\n']","
                        $30.99
                    ","
                artsarahk1408
            "
13,"
            Silicone mould druzymold crystal mold
        ","
                    Round silicone mold made of real crystals. Diameter 10 cm.
                ","['\n\nHandmade\n', '\n\n\n\nMaterials: Silicone\n\n\nRead the full description\n\n\n']","
                        $19.82
                    ","
                artsarahk1408
            "
14,"
            Silicone mould druzymold crystal mould
        ","
                    Round silicone mold to insert. Made of real crystals. The later shape is green, not white! Diameter 10 cm
                ","['\n\nHandmade\n', '\n\n\n\nMaterials: Silicone\n\n\nRead the full description\n\n\n']","
                        $14.90
                    ","
                artsarahk1408
            "
15,"
            Silicone mould druzymold crystal mould
        ","
                    Silicone mold to insert. Made of real crystals. 6 cm diameter.
                ","['\n\nHandmade\n', '\n\n\n\nMaterials: Silicone\n\n\nRead the full description\n\n\n']","
                        $8.67
                    ","
                artsarahk1408
            "
