,name,description,details,price,seller_id
0,"
            Confetti cake earrings
        ","
                Confetti cake earringsLovingly handmade pastel-colored confetti tart earrings on sturdy silver earhooks.If you are allergic, you can also choose pure titanium ear hooks.Cake: PolymerclayEarhooks: 925 silver or titaniumMy miniatures are all 100% handmade and each is a unique piece. I don't let it produce in China. Every piece of jewelry is handmade by me in Berlin.I also don't use purchased molds.I model every detail or paint individual pieces when it becomes too small or impossible. There is a lot of attention to detail in every piece of jewellery or miniature.Each piece of jewelry is shipped in a safe package in an air cushion envelope or in a small package with tracking, so that it is well received by you.
            ","['\nHandmade item\n', '\nMaterials: Silver, Titanium\n', '\nLocation: Earlobe\n', '\nClosure: Ear wire\n', '\nCan be personalized: No\n']","
                        $30.97+
                    ","
                ThisiscuteJenny
            "
1,"
            Guinea Pig Miniature with Quartz (Polymerclay)
        ",Description,[],"
                        $55.75
                    ","
                ThisiscuteJenny
            "
2,"
            Woodstock Pendant
        ","
                Woodstock PendantLovingly crafted Woodstock pendant.The small Woodstock with a rainbow-coloured background. Woodstock is handmade and hand-painted from polymer clay and then poured into coloured epoxy resin.The trailer is delivered without chain. Otherwise I have a 925 silver chain (50 cm length) or a brown cotton ribbon for lacing (approx. 67 cm length) to choose from.Trailer: Epoxy resinTrailer eyelet: stainless steelMy miniatures are all 100% handmade and each is a unique piece. I don't let it produce in China. Every piece of jewelry is handmade by me in Berlin.I also don't use purchased molds.I model every detail or paint individual pieces when it becomes too small or impossible. There is a lot of attention to detail in every piece of jewellery or miniature.Each piece of jewelry is shipped in a safe package in an air cushion envelope or in a small package with tracking, so that it is well received by you.
            ","['\nHandmade item\n', '\nMaterials: Stainless steel\n', '\nCan be personalized: No\n']","
                        $30.97+
                    ","
                ThisiscuteJenny
            "
3,"
            Earrings Hanger Hello Kitty Angel Flowers
        ",Description,[],"
                        $8.67
                    ","
                TPWJ
            "
4,"
            Earrings Hanger Winx Club Figures Bloom and Musa
        ",Description,[],"
                        $8.67
                    ","
                TPWJ
            "
5,"
            Foot chain anklet gold butterfly
        ",Description,[],"
                        $4.96
                    ","
                TPWJ
            "
6,"
            Earrings hanger bear gummy bear y2k selfmade
        ","
                • Fashion jewellery• 8 different colors availableI would like to check out my other articles, I would be very happy about every order!🦋
            ","['\nHandmade item\n', '\nLocation: Earlobe\n']","
                        $4.34
                    ","
                TPWJ
            "
7,"
            Keychain Harry Styles One Direction Spotify Codes
        ","
                    • Spotify code for the song ""18"" of 1D• Spotify code for the song ""Watermelon Sugar"" by Harry StylesI'd like to check out my other articles, there are some Harry inspired stuff too!😋
                ",['\n\nHandmade\n'],"
                        $4.96
                    ","
                TPWJ
            "
8,"
            Earrings hanger butterfly butterfly
        ",Description,[],"
                        $5.57
                    ","
                TPWJ
            "
9,"
            Earrings hanger butterfly gold handmade
        ",Description,[],"
                        $5.20
                    ","
                TPWJ
            "
10,"
            Necklace Necklace Harry Styles Golden Music Video
        ",Description,[],"
                        $11.15
                    ","
                TPWJ
            "
11,"
            Necklace necklace pearl necklace colorful bead necklace Harry Styles
        ",Description,[],"
                        $11.15
                    ","
                TPWJ
            "
12,"
            Earrings hoop earrings gold pacifier pink
        ",Description,[],"
                        $4.34
                    ","
                TPWJ
            "
13,"
            Earrings hanger hanging earrings butterfly beads gold
        ",Description,[],"
                        $4.96
                    ","
                TPWJ
            "
14,"
            Earrings hanging hoop earrings butterfly glitter
        ",Description,[],"
                        $4.96
                    ","
                TPWJ
            "
15,"
            Earrings hanger hanging earrings Polly Pocket clothing
        ",Description,[],"
                        $5.57
                    ","
                TPWJ
            "
16,"
            Chain with pendant silver game Among on us
        ",Description,[],"
                        $8.67
                    ","
                TPWJ
            "
17,"
            Earrings hanger silver rings long hanging earrings
        ",Description,[],"
                        $3.72
                    ","
                TPWJ
            "
18,"
            Earrings hanger baby safety pin luminous
        ",Description,[],"
                        $4.34
                    ","
                TPWJ
            "
19,"
            Earrings hanger Dino Dinos dinosaur gold handmade
        ",Description,[],"
                        $6.19
                    ","
                TPWJ
            "
20,"
            Chain necklace pendant One Direction 1d
        ",Description,[],"
                        $9.91
                    ","
                TPWJ
            "
21,"
            Chain necklace link chain Playboy bunny retro
        ",Description,[],"
                        $11.15
                    ","
                TPWJ
            "
22,"
            Chain necklace gold resin epoxy resin luxury brand
        ",Description,[],"
                        $9.91
                    ","
                TPWJ
            "
23,"
            Harry Styles Package Set Sticker Earrings fine line keychain
        ",Description,[],"
                        $8.67
                    ","
                TPWJ
            "
24,"
            Necklace Choker Tattoochoker My little Pony mlp
        ",Description,[],"
                        $5.57
                    ","
                TPWJ
            "
25,"
            Chain Choker Tattoochoker Pokemon Pokémon Pendant
        ",Description,[],"
                        $5.57
                    ","
                TPWJ
            "
26,"
            Gift set set Scrunchie candy lip scrub organic organic
        ","
                    •a scrunchie (various colors); Sweet and a homemade lip scrubPlease check out my other articles! 🦋
                ",['\n\nHandmade\n'],"
                        $4.96
                    ","
                TPWJ
            "
27,"
            Miracle bag surprise bag mystery bag jewelry jewelry set
        ",Description,[],"
                        $5.57
                    ","
                TPWJ
            "
28,"
            Earrings studs wobbly eyes plug
        ",Description,[],"
                        $1.86
                    ","
                TPWJ
            "
29,"
            Keychain Harry Styles TPWK
        ",Description,[],"
                        $1.86
                    ","
                TPWJ
            "
30,"
            Necklace pearl necklace colorful butterflies Harry Styles inspired
        ","
                    •Fashion jewelleryPlease check out my other articles! 🦋
                ",['\n\nHandmade\n'],"
                        $7.43
                    ","
                TPWJ
            "
31,"
            Earrings hanger Halloween spirit ghosts spooky special
        ",Description,[],"
                        $4.96
                    ","
                TPWJ
            "
32,"
            Earrings hanger butterfly butterfly various colors
        ",Description,[],"
                        $4.96
                    ","
                TPWJ
            "
33,"
            Earrings hanger Ufo saucer spaceship gold rose gold alien
        ",Description,[],"
                        $4.34
                    ","
                TPWJ
            "
34,"
            Earrings hanger heart sweet
        ",Description,[],"
                        $3.10
                    ","
                TPWJ
            "
35,"
            Earrings hanger gummy bears gummy bears glitter ombre gradient
        ",Description,[],"
                        $4.96
                    ","
                TPWJ
            "
36,"
            Earrings hanger dummy dummy
        ","
                • Fashion jewelleryPlease check out my other articles, I would be very happy about every order!🦋
            ","['\nHandmade item\n', '\nLocation: Earlobe\n']","
                        $3.72
                    ","
                TPWJ
            "
37,"
            Earrings pendant wink cat maneki-neko silver
        ",Description,[],"
                        $5.57
                    ","
                TPWJ
            "
38,"
            Earrings hanger Halloween spider unique
        ",Description,[],"
                        $6.19
                    ","
                TPWJ
            "
39,"
            Pendant necklace olive wood and resin homemade handmade resin epoxy wood women ladies jewelry jewelry
        ",Description,[],"
                        $34.69
                    ","
                LaDisDesign
            "
40,"
            Pendant necklace olive wood and resin handmade handmade homemade resin epoxy jewelry jewelry women women men men men unisex
        ",Description,[],"
                        $34.69
                    ","
                LaDisDesign
            "
41,"
            Necklace olive wood resin Handmade handmade homemade from resin epoxy wood jewelry jewelry unisex men mens ladies
        ",Description,[],"
                        $30.97
                    ","
                LaDisDesign
            "
42,"
            Pendant necklace olive wood and resin homemade handmade resin epoxy wood women ladies men men jewelry jewelry jewelry
        ",Description,[],"
                        $34.69
                    ","
                LaDisDesign
            "
43,"
            Pendant necklace olive wood and resin homemade handmade resin epoxy wood women ladies men men jewelry jewelry jewelry
        ",Description,[],"
                        $34.69
                    ","
                LaDisDesign
            "
44,"
            Pendant necklace olive wood and resin homemade handmade resin epoxy wood flower flower women ladies jewelry jewelry
        ",Description,[],"
                        $34.69
                    ","
                LaDisDesign
            "
45,"
            Pendant necklace olive wood and resin homemade handmade resin epoxy wood women ladies men men jewelry jewelry jewelry
        ",Description,[],"
                        $34.69
                    ","
                LaDisDesign
            "
46,"
            Pendant necklace olive wood and resin homemade handmade resin epoxy wood women ladies men men jewelry jewelry jewelry
        ",Description,[],"
                        $34.69
                    ","
                LaDisDesign
            "
47,"
            Necklace olive wood and resin homemade handmade resin epoxy wood women ladies men men jewelry jewelry
        ",Description,[],"
                        $30.97
                    ","
                LaDisDesign
            "
48,"
            Pendant necklace olive wood and resin homemade handmade resin epoxy wood women ladies men men jewelry jewelry jewelry
        ",Description,[],"
                        $34.69
                    ","
                LaDisDesign
            "
49,"
            Pendant necklace olive wood and resin homemade handmade resin epoxy wood women ladies men men jewelry jewelry jewelry
        ",Description,[],"
                        $22.30
                    ","
                LaDisDesign
            "
