,name,description,details,price,seller_id
0,"
            Snowflake pendant white 3pc
        ","
                    Gorgeous resin snowflakes Christmas tree pendant in white.Satin ribbon in gau is included.Set consisting of 3 trailers.Size of snowflakes: approx. 4.5 cm (non-regular shape)Each of the followers is quite individual and none is the same.Material: High-quality epoxy resin, alcohol inkPlease note:Our resin items are not suitable for the dishwasher, oven or microwaveHeat resistant to 70 degrees, please be careful with hot drinks.Easy to clean with a damp clothDo you have individual wishes? Talk to us and we'll conjure up your own personal items.
                ",['\n\nHandmade\n'],"
                        $12.39
                    ","
                blondjuwel
            "
1,"
            Snowflake pendant white silver 3pc
        ","
                    Gorgeous resin snowflakes Christmas tree pendant in white with incorporated silver leaf.Satin ribbon in grey is included.Set consisting of 3 trailers.Size of snowflakes: approx. 4.5 cm (non-regular shape)Each of the followers is quite individual and none is the same.Material: High-quality epoxy resin, alcohol ink, silver leafPlease note:Our resin items are not suitable for the dishwasher, oven or microwaveHeat resistant to 70 degrees, please be careful with hot drinks.Easy to clean with a damp clothDo you have individual wishes? Talk to us and we'll conjure up your own personal items.
                ",['\n\nHandmade\n'],"
                        $12.39
                    ","
                blondjuwel
            "
2,"
            Snowflake pendant clear gold 3pc
        ","
                    Gorgeous resin snowflakes Christmas tree pendant in clear with incorporated gold leaf.Satin ribbon in champagne is included.Set consisting of 3 trailers.Size of snowflakes: approx. 4.5 cm (non-regular shape)Each of the followers is quite individual and none is the same.Material: High-quality epoxy resin, alcohol ink, glitter stonesPlease note:Our resin items are not suitable for the dishwasher, oven or microwaveHeat resistant to 70 degrees, please be careful with hot drinks.Easy to clean with a damp clothDo you have individual wishes? Talk to us and we'll conjure up your own personal items.
                ",['\n\nHandmade\n'],"
                        $12.39
                    ","
                blondjuwel
            "
3,"
            Driftwood in epoxy resin
        ","
                    On the beach bound engine wood poured into epoxy resin with edges and corners that are not perfect.1.5cm x 5.3cm x 3 cm
                ","['\n\nHandmade\n', '\n\n\n\nMaterials: Wood, Epoxy\n\n\nRead the full description\n\n\n']","
                        $6.19
                    ","
                TonyMoular
            "
4,"
            Reserved lineup
        ","
                    Exhibitor for table reservation made of 4 mm plywood with black plastic shield so that you can write name of the guest with a chalk pen.About 12cm B x 13cm H x 11cm T
                ","['\n\nHandmade\n', '\n\n\n\nMaterials: Wood, Plasik\n\n\nRead the full description\n\n\n']","
                        $5.57
                    ","
                TonyMoular
            "
5,"
            A5: Exhibitor
        ","
                    Different motifs on A5 in black and white or color with photo transfer on plywood as image to the wall, covered with clear varnish.
                ","['\n\nHandmade\n', '\n\n\n\nMaterials: Wood, Plywood, Paint\n\n\nRead the full description\n\n\n', '\nHeight: 210 millimeters\n', '\nWidth: 148 millimeters\n']","
                        $4.71
                    ","
                TonyMoular
            "
6,"
            A4 murals lady comic
        ","
                    Different motifs on A4 in black and white or color with photo transfer on plywood as image to the wall, covered with clear varnish.
                ","['\n\nHandmade\n', '\n\n\n\nMaterials: Wood, Plywood, Paint\n\n\nRead the full description\n\n\n', '\nHeight: 297 millimeters\n', '\nWidth: 210 millimeters\n']","
                        $8.55
                    ","
                TonyMoular
            "
7,"
            Entrance plate lated on A5
        ","
                    A5 lAheated shield, untreated on plywood without suspension
                ",['\n\nHandmade\n'],"
                        $3.10
                    ","
                TonyMoular
            "
8,"
            Paopu fruit / papufruit, Kingdom Hearts, flowers / flowers, keychain / keychain, charm / pendant, magnet, epoxy resin / epoxy resin
        ","
                    Paopu fruit with flowersXX Every order is shipped with tracking XXXX Every order will be shipped with tracking XX
                ","['\n\nHandmade\n', '\n\n\n\nMaterials: Latex, epoxy resin, Epoxy, dry flowers, Dried flowers, Pigments\n\n\nRead the full description\n\n\n']","
                        $9.91+
                    ","
                xjaezzx
            "
9,"
            Sakura candy bag, candy, magnet, keychain / keychain, charm / pendant, epoxy resin / epoxy resin, oil shaker / oil shaker
        ","
                    Sakira candy bag oil shakerb - grade (some air bubbles on the sticker)XX Every order is shipped with tracking XXXX Every order will be shipped with tracking XX
                ","['\n\nHandmade\n', '\n\n\n\nMaterials: Latex, baby oil, Pigments, epoxy resin, Epoxy, Glitter, shaker inserts\n\n\nRead the full description\n\n\n']","
                        $14.87+
                    ","
                xjaezzx
            "
