,name,description,details,price,seller_id
0,"
            Ashtray made of epoxy resin
        ","
                    Hello & welcome to my site.I specialize in personal ashtrays and jewellery made of synthetic resin.These ashtrays are ready and you can look at this.I work with various fluorescent and metallic colors.See the last photoIf you want a necklace a bracelet or an ashtray with your favorite photos, write to me directly!If I have aroused your interest, please write me a pnTogether we find what
                ",['\n\nHandmade\n'],"
                        $43.48
                    ","
                LuxuriousEpoxy
            "
1,"
            Pendant made of epoxy resin
        ","
                I make pendants from epoxy resin.I fix myself on personal pendants e.g. with a picture or a date.I offer silver and gold or stainless steel on request.
            ","['\nHandmade item\n', '\nMaterials: Stainless steel\n', '\nCan be personalized: Yes\n', '\nMade to Order\n']","
                        $31.06
                    ","
                LuxuriousEpoxy
            "
2,"
            Ashtray
        ","
                    Here's my first ashtrayI have all the colors and décor stuff I can make your perfect ashtray
                ",['\n\nHandmade\n'],"
                        $43.48
                    ","
                LuxuriousEpoxy
            "
3,"
            Brass acorn necklace charm, Glass terrarium necklace, Dry moss pendant with white Queen Annes lace, Real flower jewelry
        ","
                Here is a handcrafted acorn terrarium necklace with real moss and Queen Anne's lace. I created this accessory for nature lovers, who prefer a calm palette for jewelry. An acorn necklace such as this will match any outfit.Acorn is an ancient symbol of new beginnings, which is why this necklace will be the right gift for someone who starts a new phase in life.Pendant length is 2.5 cm (1 inch);This terrarium necklace will be shipped with a bronze chain. I will be happy to lengthen or shorten it if needed. Just leave me a note in the 'message to seller' box during the ordering process.The bottom part of this plant necklace is made of a special glass for jewelry. It's thick and hard to beat.Inside the glass is a composition of dried flowers and moss, which are protected to retain their color for many years.Would you like to buy this necklace as a lovely bridesmaid gift? I can offer you a 15% discount if you order more than 3 pieces. Send me a message to get the code.The necklace arrives packaged for gift giving; see an example on the last picture.Would you like to leave a message on a beautiful card? Just let me know, this option is for free!My shop is located in Germany. I ship worldwide, and shipping usually takes about 1-3 weeks, depending on your location. This item will be shipped with insurance, and you will receive a tracking number.For any other queries about my items, contact me, and I'll be happy to reply.Thanks for looking!More necklaces you'll find here: https://www.etsy.com/shop/flomory?ref=l2-shop-header-avatar&section_id=16567042
","['\nHandmade item\n', 'Pendant height: 2.5 Millimeters', '\nMaterials: Brass, Glass\n', '\nStyle: Boho & hippie\n']","
                        $39.80+
                    ","
                flomory
            "
4,"
            Dainty elephant necklace gold with real queen anne's lace, gifts for mom from daughter
        ","
                Beautiful Elephant Charm – A classic women’s necklace with tiny white flowers inside.Every Elephant is a one-of-a-kind piece for anyone who loves their Elephant or just adorable animals.Symbol of strength and wisdom, this enchanting elephant pendant necklace is sure to add sweet sentiments to your everyday look. Simple, delicate, and versatile, it can be worn on its own to add a touch of glam to any outfit, or as a beautiful accent to a layered look.The necklace arrives packaged for gift giving; see an example on the last picture.Would you like to leave a message on a beautiful card? Just let me know, this option is for free!For any other queries about my items, contact me, and I'll be happy to reply.Thanks for looking!
            ","['\nHandmade item\n', 'Necklace length: 45 Centimeters; Pendant height: 18 Millimeters; Pendant width: 30 Millimeters', '\nMaterials: Steel\n', '\nStyle: Boho & hippie\n', '\nCan be personalized: Yes\n']","
                        $43.48
                    ","
                flomory
            "
5,"
            Bee necklace gold filled with dripping honey, dainty honeycomb necklace pendant with tiny bee on simple chain. Free shipping
        ","
                A shiny 24K Gold over Sterling Silver handmade bee pendant on a fine shimmering gold Filled chain. This beautiful simple necklace is ideal for everyday wear and would make a great gift.When Bee appears in your life the most common message it carries has to do with your levels of productivity. Sometimes we are doing too much, and in others not enough. Bee spirit has a strong work ethic but it also knows the importance of stopping and smelling the flowers. There is a time to enjoy life’s nectar and a time to grab after the proverbial brass ring with vehemence. Bee helps with both, and in finding the delicate balance between the two.The standard chain length is 45cm (18 inches).The honeycomb is filled with yellow resin and looks like real honey.This necklace will come in a pretty gift box ready to give to a loved one.You may like matching earrings: https://www.etsy.com/listing/719604390/dainty-gold-bee-earrings-bee-and?ref=shop_home_active_7&frs=1Thank you for visiting my shop and I hope to see you back again soon as I am always adding new items :)Kind regards,Kate
            ","['\nHandmade item\n', 'Necklace length: 45 Centimeters', '\nMaterials: Gold\n', '\nStyle: Art nouveau\n', '\nCan be personalized: Yes\n']","
                        $45.99
                    ","
                flomory
            "
6,"
            Real mushroom necklace on long silver chain, Resin orb necklace pendant with real moss, Miniature forest necklace, Nature lover gift
        ","
                Are you looking for an unusual pendant? Here is a terrarium necklace with a miniature forest inside.  It's filled with 2 tiny mushrooms and 4 different kinds of moss. Size: 2 cm (0.8 inch) in diameter.Chain: sterling silver chain.It's a very special woodland necklace for women who are enjoying spending time outdoors, but feel a lack of nature in the city. This jewelry would be small keepsake of warm Summer month and beautiful time in the forest. Such a pendant catches a glance and it's immediately visible, that this necklace is handmade by a designer. Besides I'm sure, nature looks goods on you!Dazzle your friends and family, give as a spellbinding gift that your recipient will never find anywhere else, or turn this trendsetting necklace into your new favorite wear-anywhere accessory! This beautiful Mushroom Necklace was truly created with your unique style in mind!Kindle a moment that they'll treasure for a lifetime when you present this beautiful and unique Mushroom Necklace as a gift- and feel proud to know that your unique keepsake won’t be seen anywhere else.Shine bright in a world of common trends with this alluring and distinctive piece of wearable art.This jewelry is non-breakable and thanks to a special technology moss inside will remain the same bright green color for many years. You will receive this necklace in a forest-inspired wooden box, ready for gift-giving. I also include easy care instructions. For any other query about my items, contact me and I'll be happy to reply.
            ","['\nHandmade item\n', 'Pendant height: 2 Centimeters; Pendant width: 2 Centimeters', '\nMaterials: Silver\n', '\nStyle: Boho & hippie\n', '\nCan be personalized: Yes\n']","
                        $95.66+
                    ","
                flomory
            "
7,"
            Sterling silver fire necklace pendant, round resin statement necklace
        ","
                Here is a sterling silver fire necklace.The fire is PAINTED by hand with resin, this is not a photograph.It arrives in the nature inspired gift box, ready for gift-giving.All findings are produced by a small manufacturer in Germany, with strong quality control.Part of the Dragon Collection, this cute necklace comes in LIMITED EDITION, making it ideal as a gift, for that special someone! So if you were waiting for the perfect moment to seize the opportunity, the time is now!Dazzle your friends and family, give as a spellbinding gift that your recipient will never find anywhere else, or turn this trendsetting Fire Necklace into your new favorite wear-anywhere accessory! This beautiful Pendant was truly created with your unique style in mind!Shine bright in a world of common trends with this alluring and distinctive piece of wearable art.If your order is a gift and being sent straight to the recipient, I would be very happy to include a message for you. To do this please add the message details in 'notes to seller' section during checkout.Why Flomory:• High-quality jewelry.Color protection for resin, no bubbles, perfectly glossy surface, and only the best findings. I make your favorite piece of jewelry to serve you for many years to come.• Fair-trade.I care about responsible sourcing and am not involved in child labor or modern slavery and make my jewelry in happy and healthy working conditions.• Always one-of-a-kind.You are unlike anyone else and deserve unique jewelry.
            ","['\nHandmade item\n', 'Pendant height: 25 Millimeters; Pendant width: 25 Millimeters', '\nMaterials: Glass, Silver\n', '\nCan be personalized: Yes\n']","
                        $73.30+
                    ","
                flomory
            "
8,"
            Gold elephant bracelet with real flowers, stacking adjustable chain bracelet for women
        ","
                A 24K gold plated over stainless steel elephant bracelet. The use of eco-resin has preserved this gift of nature for the future.Chain length - adjustable.High quality, no bubbles, glossy surface.It arrives in the nature inspired gift box, ready for gift-giving.All findings are produced by a small manufacturer in Germany, with strong quality control.Part of the Animal Collection, this cute bracelet comes in LIMITED EDITION, making it ideal as a gift, for that special someone! So if you were waiting for the perfect moment to seize the opportunity, the time is now!Dazzle your friends and family, give as a spellbinding gift that your recipient will never find anywhere else, or turn this trendsetting Elephant Bracelet into your new favorite wear-anywhere accessory! This beautiful Bracelet was truly created with your unique style in mind!Shine bright in a world of common trends with this alluring and distinctive piece of wearable art.If your order is a gift and being sent straight to the recipient, I would be very happy to include a message for you. To do this please add the message details in 'notes to seller' section during checkout.Why Flomory:• High-quality jewelry.Color protection for resin, no bubbles, perfectly glossy surface, and only the best findings. I make your favorite piece of jewelry to serve you for many years to come.• Fair-trade.I care about responsible sourcing and am not involved in child labor or modern slavery and make my jewelry in happy and healthy working conditions.• Always one-of-a-kind.You are unlike anyone else and deserve unique jewelry.
            ","['\nHandmade item\n', '\nMaterials: Glass, Steel\n', '\nChain style: Cable\n', '\nClosure: Hook\n', '\nAdjustable: Yes\n', '\nCan be personalized: Yes\n']","
                        $43.50
                    ","
                flomory
            "
9,"
            Cute silver fox necklace with real flowers in resin, origami fox necklace
        ","
                Here is a solver fox necklace with tiny white flowers inside.Every fox is a one-of-a-kind piece for anyone who loves foxes or just adorable animals.Part of the Animal Collection, this cute necklace comes in LIMITED EDITION, making it ideal as a gift, for that special someone! So if you were waiting for the perfect moment to seize the opportunity, the time is now!Dazzle your friends and family, give as a spellbinding gift that your recipient will never find anywhere else, or turn this trendsetting Fox Necklace into your new favorite wear-anywhere accessory! This beautiful Pendant was truly created with your unique style in mind!Shine bright in a world of common trends with this alluring and distinctive piece of wearable art.If your order is a gift and being sent straight to the recipient, I would be very happy to include a message for you. To do this please add the message details in 'notes to seller' section during checkout.Why Flomory:• High-quality jewelry.Color protection for resin, no bubbles, perfectly glossy surface, and only the best findings. I make your favorite piece of jewelry to serve you for many years to come.• Fair-trade.I care about responsible sourcing and am not involved in child labor or modern slavery and make my jewelry in happy and healthy working conditions.• Always one-of-a-kind.You are unlike anyone else and deserve unique jewelry.The necklace arrives packaged for gift giving; Would you like to leave a message on a beautiful card? Just let me know, this option is for free!For any other queries about my items, contact me, and I'll be happy to reply.Thanks for looking!
            ","['\nHandmade item\n', 'Necklace length: 45 Centimeters; Pendant height: 4 Centimeters; Pendant width: 2 Centimeters', '\nMaterials: Glass, Stainless steel, Steel\n', '\nCan be personalized: Yes\n']","
                        $43.50
                    ","
                flomory
            "
