,name,description,details,price,seller_id
0,"
            10 Pieces (= 5 Pairs)-Earring Blanks for 12 mm Cabochons-gold
        ","
                    ◌ wonderful golden versions for tinkering, shaping and love ◌◌ Number of pieces ◌10 pieces = 5 pairs◌ size ◌Adhesive Surface: Approx. 1.2 cm (= 12 mm)◌ individualization ◌If you have a special wish, you can write to us before you buy. Whether it's the number, a different color or shape or something completely different-we try to answer all your questions.◌ Shipping ◌No matter how many pieces you buy, shipping costs only 2.50 euro in Germany.You can also choose ""Prio"" or ""Enroll"" as an additional shipping upgrade for an extra charge.◌ Delivery ◌Within Germany: 3-7 working daysWithin Europe: 3-14 working daysWorldwide: 4-28 weekdays◌ and what else? ◌You can find many more trailers and blanks in my shop-just look in.
                ",['\n\n\n\nMaterials: Metal\n\n\nRead the full description\n\n\n'],"
                        $5.95
                    ","
                loveflowersshop
            "
1,"
            Gorgeous stainless steel pull-through earrings with real forget-me-not plated gold blue
        ","
                • Wonderful pull-through earrings (which allows them to be varied in length) in gold-plated stainless steel with cast-off forget-me-notsNumber of pieces2 pieces (1 pair)SizeChain length: 8 cm+ Pendant with forget-me-not: 2 cmIndividualizationIf you have a special request, you can write to us before you buy. Whether it's the number, a different color or shape or something completely different - we'll be happy to answer all your questions.- Shipping . . . . . . . . .No matter how many pieces you buy, shipping costs only 2.50 euros throughout Germany.Optionally, you can also choose ""Prio"" or ""Registered"" as an additional shipping upgrade for an extra charge.DeliveryWithin Germany: 3 - 7 business daysWithin Europe: 3 - 14 business daysWorldwide: 4 - 28 business days""And anything else like that? ◌You can also find many more jewels, pendants and blanks in my shop - just take a look.
            ","['\nHandmade item\n', '\nMaterials: Stainless steel\n', '\nLocation: Earlobe\n', '\nCan be personalized: Yes\n']","
                        $24.80
                    ","
                loveflowersshop
            "
2,"
            10 pieces-crushed cabochons-12 mm-Red
        ","
                    ◌ wonderful cabochons with 2 Fädellöchern for tinkering, shaping and love ◌◌ Number of pieces ◌10 pieces◌ size ◌1.2 cm (= 12 mm)◌ individualization ◌If you have a special wish, you can write to us before you buy. Whether it's the number, a different color or shape or something completely different-we try to answer all your questions.◌ Shipping ◌No matter how many pieces you buy, shipping costs only 2.50 euro in Germany.You can also choose ""Prio"" or ""Enroll"" as an additional shipping upgrade for an extra charge.◌ Delivery ◌Within Germany: 3-7 working daysWithin Europe: 3-14 working daysWorldwide: 4-28 weekdays◌ and what else? ◌You can find many more trailers and blanks in my shop-just look in.
                ",[],"
                        $2.97
                    ","
                loveflowersshop
            "
3,"
            5 pieces-molecule pendant-Silver
        ","
                    ◌ wonderful silver pendants for tinkering, shaping and love ◌◌ Number of pieces ◌5 pieces◌ size ◌Approx. 2.3 cm x 1.7 cm◌ individualization ◌If you have a special wish, you can write to us before you buy. Whether it's the number, a different color or shape or something completely different-we try to answer all your questions.◌ Shipping ◌No matter how many pieces you buy, shipping costs only 2.50 euro in Germany.You can also choose ""Prio"" or ""Enroll"" as an additional shipping upgrade for an extra charge.◌ Delivery ◌Within Germany: 3-7 working daysWithin Europe: 3-14 working daysWorldwide: 4-28 weekdays◌ and what else? ◌You can find many more trailers and blanks in my shop-just look in.
                ",['\n\n\n\nMaterials: Metal\n\n\nRead the full description\n\n\n'],"
                        $2.36
                    ","
                loveflowersshop
            "
4,"
            10 pieces - floral cabochons - 12 mm - yellow
        ","
                    "" Wonderful cabochons for crafting, designing and loving . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .◌ Quantity ◌10 pieces◌ Size ◌1.2 cm (= 12 mm)◌ Individualization ◌If you have a special wish, you can write to us before you buy it. Whether it's the number, a different color or shape or something else entirely-we're happy to try to answer all your questions.◌ Shipping ◌No matter how many pieces you buy, shipping costs only 2.50 euros throughout Germany.As an option, you can also choose ""Prio"" or ""Enroll"" as an additional shipping upgrade at an additional cost.◌ Delivery ◌Within Germany: 3-7 working daysWithin Europe: 3-14 working daysWorldwide: 4-28 working days◌ And so? ◌Many more followers and blanks can also be found in my shop-just take a look.
                ",[],"
                        $3.09
                    ","
                loveflowersshop
            "
5,"
            10 pieces-Shimmering cabochons-12 mm-Red
        ","
                    ◌ wonderful cabochons for tinkering, shaping and love ◌◌ Number of pieces ◌10 pieces◌ size ◌1.2 cm (= 12 mm)◌ individualization ◌If you have a special wish, you can write to us before you buy. Whether it's the number, a different color or shape or something completely different-we try to answer all your questions.◌ Shipping ◌No matter how many pieces you buy, shipping costs only 2.50 euro in Germany.You can also choose ""Prio"" or ""Enroll"" as an additional shipping upgrade for an extra charge.◌ Delivery ◌Within Germany: 3-7 working daysWithin Europe: 3-14 working daysWorldwide: 4-28 weekdays◌ and what else? ◌You can find many more trailers and blanks in my shop-just look in.
                ",[],"
                        $2.36
                    ","
                loveflowersshop
            "
6,"
            10 pieces - Druzy cabochons - 12 mm - silver grey
        ","
                    "" Wonderful cabochons for crafting, designing and loving . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .Number of pieces10 piecesSize . . . . . . . . . .approx. 12 mmIndividualizationIf you have a special request, you can write to us before you buy. Whether it's the number, a different color or shape or something completely different - we'll be happy to answer all your questions.- Shipping . . . . . . . . .No matter how many pieces you buy, shipping costs only 2.50 euros throughout Germany.Optionally, you can also choose ""Prio"" or ""Registered"" as an additional shipping upgrade for an extra charge.DeliveryWithin Germany: 3 - 7 business daysWithin Europe: 3 - 14 business daysWorldwide: 4 - 28 business days""And anything else like that? ◌Many more trailers and blanks you will also find in my shop - just have a look.
                ",[],"
                        $3.09
                    ","
                loveflowersshop
            "
7,"
            10 pieces-Shimmering cabochons-12 mm-white coloured
        ","
                    ◌ wonderful cabochons for tinkering, shaping and love ◌◌ Number of pieces ◌10 pieces◌ size ◌1.2 cm (= 12 mm)◌ individualization ◌If you have a special wish, you can write to us before you buy. Whether it's the number, a different color or shape or something completely different-we try to answer all your questions.◌ Shipping ◌No matter how many pieces you buy, shipping costs only 2.50 euro in Germany.You can also choose ""Prio"" or ""Enroll"" as an additional shipping upgrade for an extra charge.◌ Delivery ◌Within Germany: 3-7 working daysWithin Europe: 3-14 working daysWorldwide: 4-28 weekdays◌ and what else? ◌You can find many more trailers and blanks in my shop-just look in.
                ",[],"
                        $2.97
                    ","
                loveflowersshop
            "
8,"
            10 pieces - mini fox pendant - silver
        ","
                    - Wonderful silver pendants for crafting, designing and loving . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .Number of pieces10 piecesSize . . . . . . . . . .approx. 2 cm x 1.2 cmIndividualizationIf you have a special request, you can write to us before you buy. Whether it's the number, a different color or shape or something completely different - we'll be happy to answer all your questions.- Shipping . . . . . . . . .No matter how many pieces you buy, shipping costs only 2.50 euros throughout Germany.Optionally, you can also choose ""Prio"" or ""Registered"" as an additional shipping upgrade for an extra charge.DeliveryWithin Germany: 3 - 7 business daysWithin Europe: 3 - 14 business daysWorldwide: 4 - 28 business days""And anything else like that? ◌Many more trailers and blanks you will also find in my shop - just have a look.
                ",['\n\n\n\nMaterials: Metal\n\n\nRead the full description\n\n\n'],"
                        $3.60
                    ","
                loveflowersshop
            "
9,"
            10 Pieces-Paws pendant-Silver
        ","
                    ◌ wonderful silver pendants for tinkering, shaping and love ◌◌ Number of pieces ◌10 pieces◌ size ◌Approx. 1.2 cm◌ individualization ◌If you have a special wish, you can write to us before you buy. Whether it's the number, a different color or shape or something completely different-we try to answer all your questions.◌ Shipping ◌No matter how many pieces you buy, shipping costs only 2.50 euro in Germany.You can also choose ""Prio"" or ""Enroll"" as an additional shipping upgrade for an extra charge.◌ Delivery ◌Within Germany: 3-7 working daysWithin Europe: 3-14 working daysWorldwide: 4-28 weekdays◌ and what else? ◌You can find many more trailers and blanks in my shop-just look in.
                ",['\n\n\n\nMaterials: Metal\n\n\nRead the full description\n\n\n'],"
                        $3.47
                    ","
                loveflowersshop
            "
10,"
            10 pieces-Geometric pendant-gold
        ","
                    ◌ wonderful golden pendants for tinkering, shaping and love ◌◌ Number of pieces ◌10 pieces◌ size ◌Approx. 2.3 cm x 0.8 cm◌ individualization ◌If you have a special wish, you can write to us before you buy. Whether it's the number, a different color or shape or something completely different-we try to answer all your questions.◌ Shipping ◌No matter how many pieces you buy, shipping costs only 2.50 euro in Germany.You can also choose ""Prio"" or ""Enroll"" as an additional shipping upgrade for an extra charge.◌ Delivery ◌Within Germany: 3-7 working daysWithin Europe: 3-14 working daysWorldwide: 4-28 weekdays◌ and what else? ◌You can find many more trailers and blanks in my shop-just look in.
                ",['\n\n\n\nMaterials: Metal\n\n\nRead the full description\n\n\n'],"
                        $3.47
                    ","
                loveflowersshop
            "
11,"
            10 pieces - Hollow drops - 22 mm x 30 mm - bright gold
        ","
                    Wonderful golden pendants for tinkering, shaping and loving .Number of pieces10 piecesSize . . . . . . . . . .approx. 2.2 cm x 3 cmIndividualizationIf you have a special request, you can write to us before you buy. Whether it's the number, a different color or shape or something completely different - we'll be happy to answer all your questions.- Shipping . . . . . . . . .No matter how many pieces you buy, shipping costs only 2.50 euros throughout Germany.Optionally, you can also choose ""Prio"" or ""Registered"" as an additional shipping upgrade for an extra charge.DeliveryWithin Germany: 3 - 7 business daysWithin Europe: 3 - 14 business daysWorldwide: 4 - 28 business days""And anything else like that? ◌Many more trailers and blanks you will also find in my shop - just have a look.
                ",['\n\n\n\nMaterials: Metal\n\n\nRead the full description\n\n\n'],"
                        $4.34
                    ","
                loveflowersshop
            "
12,"
            10 pieces - Hollow drops - 20 mm x 15 mm - silver
        ","
                    - Wonderful silver pendants for crafting, designing and loving . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .Number of pieces10 piecesSize . . . . . . . . . .approx. 2 cm x 1.5 cmIndividualizationIf you have a special request, you can write to us before you buy. Whether it's the number, a different color or shape or something completely different - we'll be happy to answer all your questions.- Shipping . . . . . . . . .No matter how many pieces you buy, shipping costs only 2.50 euros throughout Germany.Optionally, you can also choose ""Prio"" or ""Registered"" as an additional shipping upgrade for an extra charge.DeliveryWithin Germany: 3 - 7 business daysWithin Europe: 3 - 14 business daysWorldwide: 4 - 28 business days""And anything else like that? ◌Many more trailers and blanks you will also find in my shop - just have a look.
                ",['\n\n\n\nMaterials: Metal\n\n\nRead the full description\n\n\n'],"
                        $3.60
                    ","
                loveflowersshop
            "
13,"
            10 pieces - Hollow drops - 20 mm x 15 mm - bright gold
        ","
                    Wonderful golden pendants for tinkering, shaping and loving .Number of pieces10 piecesSize . . . . . . . . . .approx. 2 cm x 1.5 cmIndividualizationIf you have a special request, you can write to us before you buy. Whether it's the number, a different color or shape or something completely different - we'll be happy to answer all your questions.- Shipping . . . . . . . . .No matter how many pieces you buy, shipping costs only 2.50 euros throughout Germany.Optionally, you can also choose ""Prio"" or ""Registered"" as an additional shipping upgrade for an extra charge.DeliveryWithin Germany: 3 - 7 business daysWithin Europe: 3 - 14 business daysWorldwide: 4 - 28 business days""And anything else like that? ◌Many more trailers and blanks you will also find in my shop - just have a look.
                ",['\n\n\n\nMaterials: Metal\n\n\nRead the full description\n\n\n'],"
                        $3.60
                    ","
                loveflowersshop
            "
14,"
            2 pieces-Star versions for 25 mm Cabochons-Rosegold
        ","
                    ◌ wonderful rose Golden versions for tinkering, shaping and love ◌◌ Number of pieces ◌2 pieces◌ size ◌Adhesive Surface: Approx. 2.5 cm (= 25 mm)◌ individualization ◌If you have a special wish, you can write to us before you buy. Whether it's the number, a different color or shape or something completely different-we try to answer all your questions.◌ Shipping ◌No matter how many pieces you buy, shipping costs only 2.50 euro in Germany.You can also choose ""Prio"" or ""Enroll"" as an additional shipping upgrade for an extra charge.◌ Delivery ◌Within Germany: 3-7 working daysWithin Europe: 3-14 working daysWorldwide: 4-28 weekdays◌ and what else? ◌You can find many more trailers and blanks in my shop-just look in.
                ",['\n\n\n\nMaterials: Metal\n\n\nRead the full description\n\n\n'],"
                        $3.60
                    ","
                loveflowersshop
            "
